Autor,Objeto (é imagem)?,Objeto,Enunciado,Alternativa a,Alternativa b,Alternativa c,Alternativa d,Alternativa e,Resposta,"Resolução 
(caso discursiva)","Origem
(Fonte)",Ano,"Disciplinas 
(Separadas por vírgula)",Grau de dificuldade,Nível de Ensino,"Tags
(Separadas por vírgula)"
Mupi,s,etec-2010/img018.png,"<p>Analise a tabela a seguir.</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img018.png""/></p><p>De acordo com os dados da tabela, é válido afirmar que, nesse período, o Brasil</p>","concentrou a renda entre os 60% mais pobres, que possuem cerca de metade da riqueza nacional em 1989.","repartiu a renda de forma concentrada entre os mais ricos, que possuem mais da metade da renda nacional em 1989.","distribuiu melhor a renda entre a população, principalmente entre os 1% mais ricos, que possuem 17,3% em 1989.","ampliou a renda de forma desigual entre os mais pobres, que receberam cerca de 42% da riqueza entre 1960 e 1989.","concentrou a renda entre os 11% mais ricos, que acumularam em 1989 ganhos de riqueza de mais de 80% em relação aos anos anteriores.",b,,Etec,2010,6,M,3,"brasil, concentração de renda, brasil contemporâneo, distribuição de renda no brasil"
Mupi,,,"<p>No estado de São Paulo, nas áreas de cultivo da cana, laranja e café, tem crescido o número de
trabalhadores expulsos do campo os quais, residindo nas cidades, voltam todo dia para trabalhar no campo,
ganhando geralmente salários baixos.</p>
</p>Estes trabalhadores são conhecidos como</p>",usineiros.,parceiros.,sem-terra.,boias-frias.,camponeses.,d,,Etec,2010,6,E,3,"boia fria, brasil, trabalhadores rurais, trabalho no campo"
Mupi,s,etec-2010/img019.png,"<p>Analise o perfil de relevo (leste-oeste) da região Nordeste do Brasil. Cada algarismo romano corresponde a
um componente distinto do relevo.</p> <p>Assinale a alternativa com os nomes correspondentes a cada um desses componentes do relevo nordestino.</p>",I - Cuestas do Rio Paraíba do Sul / II - Planície Sertaneja / III - Planalto Central / IV - Planalto Litorâneo,I - Planaltos e Planícies do Rio Araguaia / II - Depressão Periférica / III - Montes Agrestes / IV - Planície Atlântica,I - Planície do Rio São Francisco / II - Cinturão Sertanejo / III - Serra do Espinhaço / IV - Planície Nordestina,I - Planície do Rio Paranapanema / II - Bacia Central / III - Chapada Diamantina / IV - Planície Costeira,I - Planaltos e Chapadas da Bacia do Parnaíba / II - Depressão Sertaneja / III - Planalto da Borborema / IV - Tabuleiros e Planícies Litorâneas,e,,Etec,2010,6,H,3,"relevo, relevo do Brasil, relevo nordestino, relevo nordeste, "
Mupi,s,etec-2010/img021.png,"<p>De acordo com o texto, é correto afirmar que</p>","as críticas são desnecessárias e improdutivas, por isso não as devemos considerar importantes.",a crítica se diferencia do feedback por ela não submeter o indivíduo a situações constrangedoras.,o feedback geralmente compromete o desempenho do indivíduo levando-o a uma baixa autoestima.,o indivíduo que aprende a ouvir críticas tem discernimento para avaliar o que é pertinente ou não.,o autoaperfeiçoamento é decorrência da rejeição que o indivíduo tem à prática do feedback.,d,,Etec,2010,2,E,3,"interpretação de texto, interpretação, texto jornalístico, coluna jornalística"
Mupi,s,etec-2010/img021.png,"<p>Considere a frase:</p>
<p>Já o feedback, termo em inglês que pode ser traduzido por “dar um retorno ou discutir a situação”, se
concentra em oferecer informações <strong>concretas</strong> para motivar a pessoa que as recebe a rever seus
comportamentos.</p>
<p>De acordo com a leitura, entende-se o adjetivo <strong>concretas</strong> por informações que</p>",expõem a intimidade e a privacidade da pessoa criticada.,"são diretas, porém ofensivas e destrutivas para a pessoa que as recebe.",nascem de um julgamento parcial e subjetivo das atitudes e da personalidade do indivíduo.,são consequência das opiniões divergentes que o grupo tem sobre a pessoa avaliada.,se baseiam na realidade e nos fatos para apontar mudanças necessárias no indivíduo.,e,,Etec,2010,2,M,3,"interpretação de texto, interpretação, texto jornalístico, coluna jornalística, gramática, adjetivo"
Mupi,s,etec-2010/img021.png,"<p>Considere os trechos: </p><p><strong>Mas</strong> levar toda crítica a sério também não é benéfico. (1o parágrafo) </br>... é importante determinar o que é válido ou não, <strong>pois</strong> algumas críticas não têm fundamento...</br>(último parágrafo)</p><p>As palavras em destaque estabelecem entre as informações do texto, correta e respectivamente, as relações de</p>",condição e oposição.,condição e concessão.,oposição e causa.,oposição e tempo.,tempo e conclusão.,c,,Etec,2010,2,E,3,"interpretação de texto, interpretação, texto jornalístico, coluna jornalística, gramática, advérbio"
Mupi,s,etec-2010/img022.png,"<p>Considere a tirinha. Pela leitura, pode-se concluir que a esposa do general</p>",mostra-se irritada e procura ridicularizá-lo.,faz uma crítica construtiva à atitude do marido.,espera que ele perceba que ela é tolerante e flexível.,age de forma indiferente e lhe explica por que ficou magoada.,usa o processo de <em>feedback</em> para lidar com o erro cometido por ele.,a,,Etec,2010,2,E,3,"interpretação de texto, tirinha, interpretação"
Mupi,,,<p>Assinale a frase em que o verbo está empregado corretamente.</p>,Todo o plano foi <strong>descobrido</strong> pelos investigadores.,<strong>Havia</strong> muitos carros circulando pela avenida.,Espero que todos os hóspedes <strong>estejem</strong> bem acomodados.,"Se ele <strong>vim</strong> aqui hoje, resolveremos vários assuntos.",<strong>Foi</strong> eu que digitei as planilhas referentes ao consumo de energia.,b,,Etec,2010,2,M,3,"concordância verbal, concordância, verbo, gramática"
Mupi,,,"<p>Assinale a alternativa que completa, correta e respectivamente, a frase a seguir:</p> <p> Às _______, nós ________ encontraremos na ___________ de artigos esportivos.</p>",15h ... nos ... sessão,15h ... nos ... seção,15h ... se ... seção,15hs ... se ... sessão,15hs ... nos ... seção,b,,Etec,2010,2,M,3,"gramática, completar, ortografia"
Mupi,,,"<p>Considere as frases:</p> <p>I. Para <strong>mim</strong>, receber críticas é difícil.</br> II. Pediu para <strong>mim</strong> explicar calmamente o que eu pretendia fazer.</br> III. Ele sempre dedicou a <strong>mim</strong> um carinho especial.</p><p> O pronome mim está empregado corretamente em</p>","III, apenas."," I e II, apenas.","I e III, apenas."," I, II e III."," II, apenas.",c,,Etec,2010,2,M,3,"gramática, mim, pronome, uso de pronome"
Mupi,,,"<p>Assinale a alternativa em que a locução adverbial completa a frase a seguir com a circunstância de <strong>modo</strong>.</p><p> Após a conversa tensa com os integrantes da diretoria, ele saiu _____________________.</p>",da sala de reuniões,com os colegas,com tranquilidade,depois do horário,pela porta lateral do recinto,c,,Etec,2010,2,M,3,"gramática, locução adverbial, modo, locução adverbial de modo"
Mupi,s,etec-2010/img023.png,"<p>Os condomínios de apartamentos normalmente
possuem dezenas de moradores e alguns
equipamentos de uso coletivo. Assim, diversas
medidas ecopráticas são possíveis a fi m de reduzir
custos e impactos ambientais.</p>
<p>Avalie a seguir qual medida é adequada e pode
ser facilmente praticada para reduzir tais custos e
impactos nos condomínios.</p>",Chamar todos os elevadores em serviço para que sua viagem seja mais rápida.,Substituir semanalmente a água da piscina para manter a água despoluída.,Captar água da chuva para lavagem de áreas soCaptar água da chuva para lavagem de áreas sociais e de calçadas.,Reduzir o espaço de jardins e hortas para ampliar áreas secas e impermeáveis.,"Optar por lâmpadas incandescentes para iluminar
permanentemente corredores e garagens.",c,,Etec,2010,8,E,3,"meio ambiente, sustentabilidade, ecopráticas"
Mupi,,,"<p>O síndico de um condomínio pretende redigir uma
circular para os condôminos, orientando-os sobre
ecopráticas.</p>
<p>Para que essa circular atenda à norma padrão da
língua portuguesa, ajude-o a escolher os termos
adequados, assinalando a alternativa correta.</p> <p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img024.png""/></p>",Seja ... a ... porque ... a fim,Seja ... à ... porque ... afi m,Seja ... a ... por que ... a fi m,Seje ... à ... porque ... afi m,Seje ... à ... por que ... a fi m,a,,Etec,2010,2,M,3,"gramática, crase, uso dos porquês, concordância verbal"
Mupi,,,"<p>Após assistir ao programa Ecoprático, da TV Cultura, em que foi abordado o tema do aproveitamento da
iluminação e da ventilação naturais do ambiente, Dona Maria decidiu ampliar a janela de sua cozinha. A
janela retangular teve o seu comprimento dobrado e teve a sua altura aumentada em 50%, mantendo a forma
retangular. Logo, a área da janela aumentou em</p>",100%.,150%.,200%.,250%.,300%.,c,,Etec,2010,4,M,3,"porcentagem, proporção, geometria, formas"
Mupi,s,etec-2010/img025.png,"<p>Analisando a situação apresentada, conclui-se que a quantidade total de água que Marcelo utilizou nesse banho foi, em litros,</p>","12,30.","23,55.","34,56.","40,83.","58,15.",b,,Etec,2010,4,M,3,"regra de três, consumo de água, sustentabilidade"
Mupi,s,etec-2010/img025.png,"<p>Assinale a alternativa que melhor representa o gráfico da quantidade de água consumida, em litros, em função
do tempo, em minutos, durante o banho de Marcelo.</p>","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img026a.png""/> ","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img026b.png""/> ","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img026c.png""/> ","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img026d.png""/> ","<img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img026e.png""/> ",c,,Etec,2010,4,M,3,"gráfico, consumo de água, interpretação de gráfico"
Mupi,,,"<p>O bem-estar nas grandes metrópoles é comprometido não só pelas formas de produção intensificadas, como
também pelas formas de consumo e de circulação de bens e de pessoas.</p>
<p>Quanto à circulação e ao consumo nas grandes metrópoles, uma <strong>medida ecoprática</strong> adequada seria, sempre
que possível,</p>",privilegiar o transporte particular para diminuir a poluição nos lugares públicos.,"circular a pé, de bicicleta ou com transporte coletivo para diminuir a poluição do ar.","evitar o uso de trens bem como de celulares e “MP3”, a fim de diminuir a poluição sonora.",instituir o fim dos dias de rodízio de veículos para incentivar o uso de transporte particular.,"aumentar a potência dos motores dos veículos a gasolina, para aumentar o consumo de energias limpas.",b,,Etec,2010,"6, 8",E,3,"sustentabilidade, meio ambiente, poluição, medidas ecopráticas"
Mupi,,,"<p>Roberto, morador da capital paulista, é um cidadão ecoprático. Com o tempo, acostumou-se a deixar seu carro na garagem e ir a pé ao lugar que necessita, desde que seu trajeto não ultrapasse 2 quilômetros.</br>
Assim, quando viajou pela primeira vez para Fortaleza, consultou o mapa a seguir para saber se deveria ir a pé da Praça da Bandeira
(ponto A) até a Praia de Iracema (ponto B). No mapa, com o uso de uma régua, constatou que a distância entre A e B era de
7 centímetros. Em seguida, consultou a escala do mapa para calcular a distância real entre os pontos.</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img027.png""/></p><p>(Considere o percurso em linha reta, desprezando pequenos desvios.)</p><p>Segundo os critérios ecopráticos de Roberto, ele deve</p>","ir a pé, pois a distância não chega a 1 quilômetro.","ir a pé, pois a distância está entre 1 e 2 quilômetros.","usar transporte público, pois a distância está entre 2 e 4 quilômetros.","usar transporte público, pois a distância está entre 4 e 6 quilômetros.","usar transporte público, pois a distância ultrapassa 6 quilômetros.",b,,Etec,2010,"6, 4",M,3,"geometria, proporção, escala, distância"
Mupi,,,"<p>Considere que Roberto, em suas caminhadas de 2 000 m para manter o seu condicionamento físico, desenvolva uma velocidade média de 5 km/h.</p> <p>O tempo gasto para percorrer esta distância é de</p>",12 min.,20 min.,24 min.,36 min.,40 min.,c,,Etec,2010,9,M,3,"Velocidade, distância, tempo gasto"
Mupi,s,etec-2010/img028.png,"<p>Gilberto Freyre descreveu desta forma a casa-grande típica dos engenhos de açúcar do período colonial.
Fazendo um paralelo entre a construção da casa-grande naquele período e os atuais critérios ecopráticos,
podemos concluir que a casa-grande</p>","não estava adequada ao meio ambiente, pois seus telhados não amenizavam o calor e a umidade.","seguia um critério ecoprático, adaptando as técnicas e os materiais utilizados às condições climáticas locais.","não era ecoprática, pois suas varandas serviam apenas para embelezar as construções, consumindo madeira em excesso.",pode ser considerada a iniciativa que mais causou danos ao meio ambiente colonial do século XVI.,"estava adequada ao critério ecoprático, pois seguia o mais avançado padrão europeu de construção.",b,,Etec,2010,5,M,3,"história do brasil, casa grande, construção, medidas ecopráticas, sustentabilidade"
Mupi,,,"<p>O uso de cores claras na pintura das paredes externas de uma casa é uma prática que contribui para o conforto
térmico das residências, pois minimiza o aquecimento dos ambientes internos. Além disso, essa atitude diminui
os gastos de energia com ventiladores ou aparelhos de ar condicionado.</p>
<p>A escolha de tintas de cores claras se justifica pois, na interação da radiação solar com essa tinta, predomina
o fenômeno de</p>",refração.,absorção.,condução.,convecção.,reflexão.,e,,Etec,2010,9,M,3,"fenômenos, reflexão, cores"
Mupi,,,"<p>Para evitar que seus pais, que já são idosos, não sofram acidentes no piso escorregadio do quintal da casa, Sandra contratou uma pessoa para fazer ranhuras na superfície desse piso – atitude ecoprática que não gera entulho, pois torna desnecessária a troca do piso. </p><p>O fato de o piso com ranhuras evitar que pessoas escorreguem está ligado ao conceito físico de</p>",atrito.,empuxo.,pressão.,viscosidade.,condutibilidade.,a,,Etec,2010,9,E,3,"atrito, piso, medidas ecopráticas, sustentabilidade"
Mupi,,,"<p>O Sr. João precisa trocar as telhas da sua casa. Pesquisando nas lojas de material de construção, optou por uma ecotelha.
A ecotelha é uma telha ondulada produzida com material reciclável como tubos de pasta de dentes. Entre outras características, ela apresenta elevada resistência à ação dos raios ultravioleta e infravermelhos; não absorve umidade; permite o isolamento térmico; além de ter custo acessível e substituir, com vantagens, o perigoso cimento-amianto.</br>
(Adaptado de: http://www.arq.ufsc.br/arq5661/trabalhos_2003-1/ecovilas/ecotelha.htm Acesso em 02.09.2009.)</p>
<p>Após retirar as telhas velhas e como não havia necessidade de alterar a estrutura do telhado, o Sr. João
planejou a colocação das novas telhas.</p>
<p>A figura apresenta as características da estrutura do telhado e como as telhas serão dispostas.</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img029.png""/></p><p>Considerando que as ecotelhas serão colocadas de modo a revestir o retângulo BCDE, sem ultrapassar as suas bordas, e sabendo que as dimensões da telha são 2,20 m X 0,92 m, o Sr. João calculou que a medida do transpasse das telhas é, em centímetros,</p> <p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img030.png""/></p>",10.,20.,30.,40.,50.,d,,Etec,2010,4,M,3,"geometria, seno, coseno, paralelas, perpendiculares, ângulos"
Mupi,,,"<p>Para evitar o desperdício de água potável em sua casa, o Sr. João construiu um sistema de captação de água de chuva. Essa água será armazenada em uma cisterna cilíndrica cujas dimensões internas são três metros de altura e dois metros de diâmetro, conforme esquema na figura.</p> <p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img031.png""/></p> <p>Poucos dias após o término da construção da cisterna, quando ela ainda estava totalmente vazia, choveu dois dias seguidos, o que deixou o Sr. João muito feliz e ele pôde observar que:</p>
<p>• no primeiro dia, o índice pluviométrico foi de 36 mm/m2 , o que fez o nível da água na cisterna atingir a marca de 72 cm;</br>
• no segundo dia, o índice foi de 30 mm/m2.</p>
<p>Considere que:</p>
<p>• não foi retirada água da cisterna nesse período;</br>
• no interior da cisterna entrou apenas a água da
chuva;</br>
• o índice pluviométrico e a altura da água na cis-
terna são grandezas diretamente proporcionais.</p>
<p>Sendo assim, o Sr. João determinou que o volume de
água captado e armazenado na cisterna após esses
dois dias de chuva é, em litros,</p> <p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img032.png""/></p>",980.,1 860.,2 100.,3 030.,3 960.,e,,Etec,2010,4,H,3,"volume, cilindro, geometria"
Mupi,s,etec-2010/img033.png,"<p>Observe atentamente a ilustração, publicada em um jornal do Rio de Janeiro no ano de 1861.</p><p>Relacione a imagem à alternativa correta.</p>","Essa atitude se limitava aos setores sociais mais pobres, considerados como pouco higiênicos pelas elites.",Essa prática de eliminação de dejetos contribuía para a disseminação de doenças na capital do Império.,"Embora a cidade fosse equipada com redes de esgoto, faltava higiene à população pouco instruída.",A cidade do Rio de Janeiro era conhecida pelas suas boas condições de urbanização e de saúde pública.,"Os escravos desobedeciam a seus senhores, jogando os dejetos da cidade ao mar como forma de protesto.",b,,Etec,2010,"5, 6, 8",E,3,"escravidão, saneamento básico, higiene, dejetos, Brasil império"
Mupi,,,"<p>No cotidiano doméstico das pessoas, a adoção de ações simples como lavar as mãos; tratar a água; dar destino
adequado aos dejetos; impedir a proliferação de animais transmissores de doenças e não andar descalço são
práticas higiênicas fundamentais para se ter qualidade de vida.</p>
<p>Analise as alternativas a seguir e assinale a alternativa que apresenta a associação correta entre uma doença
causada pela falta de higiene ou de saneamento e seu respectivo agente causador e forma de contágio.</p>",Doença - Ascaridíase (Lombriga) / Agente causador - Verme / Forma de contágio - Ingestão de carne contaminada com cisticercos.,Doença - Ancilostomose (Amarelão) / Agente causador - Verme / Forma de contágio - Picada do mosquito.,Doença - Esquistossomose (Barriga d’água) / Agente causador - Verme / Forma de contágio - Penetração de larvas através da pele.,Doença - Febre amarela / Agente causador - Vírus / Forma de contágio - Contato com animais domésticos ou silvestres infectados.,Doença - Amebíase (Disenteria amebiana) / Agente causador - Vírus / Forma de contágio - Ingestão de água ou alimentos contaminados.,c,,Etec,2010,8,M,3,"doenças parasitárias, falta de higiene, saneamento, doenças, formas de contágio"
Mupi,,,<p>Assinale a alternativa em que a frase obedece às regras da norma padrão.</p>,"Fazem vários anos que tentamos erradicar doenças, como o Amarelão, neste município.","Aqui em casa, todos mantêm práticas ecológicas como fechar a torneira enquanto escovam os dentes.",As aulas de reposição do curso de Meio Ambiente terminarão ao meio-dia e meio.,"As pessoas continuam alheias aos problemas do planeta, por pior que sejam as perspectivas.","Quando discutimos o que é ser ecoprático, os alunos demonstraram interesse e curiosidade aguçadas.",b,,Etec,2010,2,M,3,"norma padrão, norma culta, concordância"
Mupi,,,"<p>Segundo Caio Prado Jr, no livro História Econômica do Brasil, “a devastação da mata em larga escala ia
semeando desertos estéreis atrás do colonizador, sempre em busca de solos frescos que não exigissem maior
esforço da sua parte”. De acordo com este autor, é possível afirmar que as práticas agrícolas implantadas
pela colonização, como a queimada e a monocultura, levaram a um progressivo empobrecimento dos solos da
América Portuguesa.</p>
<p>Essa atitude do colonizador português em relação ao meio ambiente pode ser compreendida historicamente
como</p>","pré-capitalista, pois na colônia não existia uma produção organizada em larga escala.","neoliberal, pois o Estado português não interferia nos negócios praticados na América.","medieval, pois esta produção não era voltada para o mercado, e sim para a subsistência.","mercantilista, pois a produção e o lucro rápido importavam mais que a degradação do solo.","humanista, pois havia um interesse direto no progresso e no bem-estar da humanidade.",d,,Etec,2010,"5, 6",M,3,"mercantilismo, meio ambiente, métodos de produção, colonização, Brasil colônia, monocultura, américa colonial"
Mupi,,,"<p>No mundo, toneladas de alimentos vão para o lixo enquanto milhões de pessoas passam fome.
Em entrevista à Revista do Idec, de março de 2009, Antônio Gomes Soares, Coordenador do Departamento
da Embrapa Agroindústria, esclareceu que em relação às frutas e hortaliças ocorrem perdas sucessivas
em cada etapa do processo que vai da produção até chegar à mesa do consumidor final. Essas
perdas podem ser divididas em: 10% no campo, 50% no manuseio/transporte, 30% nas centrais de
abastecimento/comercialização e 10% em supermercados/casa dos consumidores. Ainda segundo a revista,
as causas para tudo isso vão desde a manipulação inadequada, passando pelo transporte ineficiente, até o
excesso de manuseio dos consumidores quando o produto já está na gôndola do supermercado.</p>
<p>Admitindo os dados citados no texto, se 10 toneladas de frutas e hortaliças são produzidas no campo, então
pode-se supor que a quantidade que chega ao prato dos consumidores finais é, em quilogramas,</p>",3 654.,2 835.,2 431.,2 159.,1 852.,b,,Etec,2010,4,M,3,"grandezas, regra de três, peso, medidas"
Mupi,,,"<p>Fique alerta! Em 2008, a Agência Nacional de Vigilância Sanitária (ANVISA), responsável por realizar o monitoramento de resíduos de agrotóxicos presentes nos alimentos, analisou 17 deles vendidos em supermercados e encontrou substâncias químicas permitidas, porém muito acima do limite aceitável. Entre os alimentos com mais irregularidade se destacaram o pimentão, o morango, a uva, a cenoura, o tomate e a alface. O uso excessivo ou inadequado de substâncias químicas não ocorre apenas nas produções agrícolas, mas também, por exemplo, na pecuária, no armazenamento e conservação de alimentos, nas campanhas sanitárias e no uso doméstico, podendo trazer riscos à saúde, desencadeando intoxicações agudas e crônicas, além do possível desenvolvimento de doenças neurológicas e do câncer.</br> (Adaptado de: http://www.anvisa.gov.br/divulga/noticias/2009/150409_1.htm Acesso em 19.08.2009.)</p>
<p>Avalie os três procedimentos a seguir tendo em vista a redução da quantidade de substâncias tóxicas, durante
o preparo de nossas refeições.</p>
<p>I. Eliminar as folhas mais externas dos vegetais, porque são as que recebem uma carga maior de agrotóxicos.</br>
II. Optar por comer frutas com casca, pois as fibras ajudam na digestão e na eliminação dos resíduos tóxicos.</br>
III. Lavar cuidadosamente as folhas das verduras que serão consumidas cruas.</p>
<p>Para reduzir a quantidade de substâncias tóxicas nas refeições, deve-se pôr em prática o que se afirma em</p>","I, apenas.","II, apenas.","I e III, apenas.","II e III, apenas.","I, II e III.",c,,Etec,2010,8,E,3,"meio ambiente, higiene, agrotóxicos, alimentos, alimentação"
Mupi,s,etec-2010/img035.png,"<p>De acordo com os hábitos alimentares descritos
no texto, pode-se afirmar que a larva da broca
da cana-de-açúcar e a larva da Cotesia são,
respectivamente,</p>",produtora e consumidora primária.,produtora e consumidora secundária.,consumidora primária e consumidora secundária.,consumidora primária e consumidora terciária.,consumidora secundária e consumidora terciária.,c,,Etec,2010,8,M,3,"cadeia alimentar, larvas, hábitos alimentares, produção de alimentos, plantação, medidas ecopráticas, agrotóxicos, agricultura"
Mupi,s,etec-2010/img035.png,"<p>Com relação à utilização de controle biológico nas
plantações, é válido afirmar que</p>",provoca a seleção natural de espécies resistentes cada vez mais difíceis de serem eliminadas.,"se trata de um recurso que induz à ocorrência de
mutações gênicas nas populações das pragas.","provoca a destruição de numerosas espécies úteis
e o empobrecimento dos ecossistemas.","não é poluente, porém exige cuidados para que não interfira negativamente no equilíbrio do ambiente.",causa desequilíbrios na teia alimentar devido ao aumento da densidade da população das pragas.,d,,Etec,2010,8,M,3,"controle biológico, medidas ecopráticas, sustentabilidade, agrotóxicos, plantação, agricultura"
Mupi,,,"<p>Pensando em contribuir com uma alimentação
mais saudável para a sua família, o Sr. João está
planejando uma horta em um espaço retangular de
1,56 m por 84 cm, disponível em seu quintal.</p>
<p>Ele inicia o preparo da horta dividindo o comprimento
e a largura do terreno em partes iguais, todas
de mesma medida inteira, quando expressas em
centímetros.</p>
<p>Dessa maneira, o Sr. João formou, na superfície do
terreno, um quadriculado composto por quadrados
congruentes de modo que as medidas das arestas
de cada quadrado tivessem o maior valor possível.
Sua intenção é plantar, no centro de cada quadrado
obtido, uma única muda.</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img036.png""/></p><p>Nessas condições, a quantidade máxima de mudas que pode ser plantada é</p>",54.,76.,91.,120.,144.,c,,Etec,2010,4,M,3,"área, geometria, retângulo"
Mupi,s,etec-2010/img037.png,<p>Pode-se concluir que o principal causador desse processo de erosão genética e alimentar é</p>,a agricultura comercial com alto grau técnico-científico dos países capitalistas.,a agricultura comercial com baixo grau técnico-científico dos países subdesenvolvidos.,"a agropecuária extensiva e de subsistência, baseada na policultura altamente mecanizada.",a seleção das espécies de plantas agrícolas segundo processos evolutivos naturais.,"a redução de espécies para selecionar as menos lucrativas, porém mais nutritivas.",a,,Etec,2010,6,M,3,"agricultura, monocultura, erosão alimentar, erosão genética"
Mupi,,,"<p>Não contribuem para o nosso bem-estar: pular refeições, comer alimentos ricos em gorduras e consumir
alimentos industrializados em excesso. Esses hábitos diminuem o consumo de nutrientes necessários ao bom
funcionamento do organismo resultando, assim, no aparecimento de vários tipos de doenças.</p>
<p>Sobre alguns dos nutrientes essenciais ao nosso organismo, é válido afirmar que</p>",a vitamina E é importante na proteção dos vasos sanguíneos contra as hemorragias.,a vitamina C atua na coagulação do sangue e na formação dos glóbulos vermelhos.,o zinco previne a ocorrência do bócio ou papo devido ao mau funcionamento da glândula tireoide.,a vitamina A desempenha importante papel na manutenção de uma boa visão e participa da proteção da pele e das mucosas.,"as gorduras do tipo Ômega 3 e Ômega 6 reduzem o colesterol ruim, responsável pela formação de cálculos renais.",d,,Etec,2010,8,M,3,"vitaminas, alimentação, falta de vitaminas"
Mupi,,,"<p>No século XIX, países como Índia, Alemanha e França iniciaram os estudos sobre biodigestão anaeróbica. No
Brasil, embora o incentivo do governo tenha se iniciado apenas no final da década de 1970, os biodigestores
já funcionavam em nosso território desde a década de 1940.</p>
<p>A tecnologia de produção de biogás, por exemplo, pelo aproveitamento de estrume de animais, gera uma fonte
de energia renovável que, além de evitar a contaminação do solo e dos leitos subterrâneos de água, produz</p>",adubo.,álcool.,GLP.,sabão.,oxigênio.,a,,Etec,2010,8,M,3,"biogás, energia renovável, sustentabilidade, biocombustíveis"
Mupi,,,"<p>Em uma das ETECs, a professora trouxe para a sala de aula vários materiais para que os alunos, divididos em
grupos, discutissem a reciclagem do lixo.</p>
<p>Os materiais eram: pilhas e baterias; restos de alimentos (frutas, legumes, carne e queijo); óleo de cozinha já
utilizado e bandejas de isopor.</p>
<p>Avalie as conclusões a que os grupos chegaram:</p>
<p>• O <strong>grupo 1</strong> explicou que as pilhas e baterias devem ser descartadas em local apropriado ( empresas e lojas
fornecedoras), pois contêm metais pesados. Essas substâncias poluem o ambiente e, quando chegam ao
ser humano, podem provocar inúmeras doenças.</br>
• O <strong>grupo 2</strong> afirmou que, dos restos de alimentos trazidos pela professora, a carne e o queijo são os únicos
que podem ser aproveitados para produção de biogás, por terem alto teor proteico.</br>
• O <strong>grupo 3</strong> orientou os colegas a não descartarem o óleo de cozinha pelo ralo da pia, pois isso aumenta o
custo de tratamento da água.</br>
• O <strong>grupo 4</strong> informou que são preferíveis bandejas de papel, pois o isopor leva tempo indeterminado para
se decompor e, quando queimam esse descarte nos lixões, as empresas agravam o problema da poluição
ambiental.</br></p>
<p>É correto o que foi apresentado pelo(s) grupo(s)</p>","1, apenas.","4, apenas.","2 e 3, apenas.","1, 3 e 4, apenas.","1, 2, 3, 4.",d,,Etec,2010,8,E,3,"reciclagem, descarte de materiais, lixo, sustentabilidade"
Mupi,,,"<p>Considere o texto a seguir que nos informa sobre a continuidade do trabalho desempenhado por esses grupos.</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img038.png""/></p><p>A repetição dos termos, que estão em destaque no texto, pode ser evitada pelo emprego adequado dos
pronomes.</p>
<p>Assinale a alternativa em que isso ocorre.</p>",publicar-lhes ... o digitaram,publicar-lhes ... lhe digitaram,publicá-las ... o digitaram,publicar-las ... lhe digitaram,publicá-las ... digitaram-o,c,,Etec,2010,2,M,3,"completar, gramática, pronome, colocação pronominal"
Mupi,,,"<p>Para aquecer sua casa de forma sustentável, Sr. João aproveitou o calor produzido pela decomposição do lixo,
como mostra a figura a seguir.</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img039.png""/></p><p>Para detalhar esse processo, assinale a alternativa cujas palavras completam, correta e respectivamente, o texto a seguir.</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img040.png""/></p>",menos volátil ... mais denso,mais denso ... menos volátil,mais condutor ... menos condutor,mais denso ... menos denso,mais volátil ... menos volátil,d,,Etec,2010,9,M,3,"gases, calor, densidade do ar"
